trainid,trainname,activedays,locopilotID,originstation,destinationstation,pickupstation,journeytime
1023,"Amritha Express",Daily,100342," Thiruvananthapuram Central","Palakkad Town","Kollam,Kottayam,Ernakulam,Aluva,Thrissur,Palakkad,Dindigul",15:45
1024,"Bandra Terminus UdaipurExpress","Sun,Wed,Fri",100343," Bandra Terminus"," Udaipur","Bandra,Mumbai,Rajsthan,Udaipur",16:55
1025,"Chamundi Express",Daily,100344," Bangalore City ","Mysore City","Kengeri,Mandya,Pandavpura",03:05
1026,"Deccan Express",Daily,100345," Mumbai CST"," Pune Junction ","Thane,Kalyan,Karjur",04:05
1027,Ernakulam-BangaloreExpress,Daily,100346,"Bangalore City",Ernakulam,"BloreCant,Carmelaram,KRpuram",09:00
1028,"Flying Ranee",Daily,100347,"Mumbai City",Surat,"Andheri,Borivalli,Vapi",04:40
1029,"Goa Express",Daily,100348,Goa,"New Delhi"," Margao,Gwalior, Agra ",39:25
1030,"Hyderabad Mumbai Express",Daily,100349,Hyderabad,Mumbai,"Wadi,Solapur,Pune",15:20
1031,"Indore - Jammu Tawi Weekly Superfast Express ","Mon,Wed",100350,Indore,Jammu,"Kota,Panipat,Ludhiana",25:30
1032,"Jaipur Mysore Superfast Express","Thurs,Sat",100351,Jaipur,Mysore,"Kota,Hyderabad,Bangalore City",44:00
